Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
traceless_hair_clip,96.6 ± 2.0,99.6 ± 0.2,96.5 ± 1.2,97.3 ± 0.6,71.0 ± 3.1,64.3 ± 2.6,78.2 ± 2.3,49.7 ± 24.1,19.5 ± 16.3,5.9 ± 6.9,98.7 ± 1.4,99.8 ± 0.2,98.3 ± 1.4,16.0 ± 24.3,6.7 ± 11.5,1.3 ± 2.3
travel_switch,76.1 ± 2.2,96.1 ± 0.4,94.2 ± 0.1,80.7 ± 1.1,20.1 ± 1.7,28.3 ± 1.3,65.1 ± 0.9,85.6 ± 2.4,76.5 ± 3.0,66.4 ± 3.7,84.6 ± 3.1,97.7 ± 0.5,94.7 ± 0.5,74.7 ± 6.1,62.7 ± 6.1,45.3 ± 9.2
travel_switch_green,83.9 ± 1.4,97.7 ± 0.3,94.4 ± 0.2,91.3 ± 1.9,42.7 ± 2.0,43.4 ± 2.3,79.7 ± 3.9,83.2 ± 9.0,68.0 ± 1.6,56.0 ± 1.4,94.5 ± 1.4,99.3 ± 0.2,96.5 ± 0.4,49.3 ± 6.1,32.0 ± 10.6,20.0 ± 13.9
tubular_key_switch,86.1 ± 5.2,97.9 ± 0.9,94.7 ± 0.6,62.8 ± 2.6,25.9 ± 2.4,30.4 ± 3.4,74.1 ± 0.3,73.6 ± 9.4,61.9 ± 12.3,43.5 ± 14.3,83.9 ± 13.0,97.7 ± 1.8,95.6 ± 1.3,62.7 ± 32.6,57.3 ± 37.0,46.7 ± 40.1
vacuum_switch,72.1 ± 1.9,95.6 ± 0.4,94.3 ± 0.2,98.1 ± 0.2,66.2 ± 6.4,62.5 ± 5.0,90.8 ± 0.4,88.0 ± 7.7,79.5 ± 5.9,70.9 ± 9.1,78.1 ± 5.1,96.7 ± 1.0,94.4 ± 0.3,88.0 ± 6.9,78.7 ± 6.1,69.3 ± 2.3
vehicle_harness_conductor,85.1 ± 2.6,96.7 ± 0.6,94.1 ± 0.2,94.1 ± 0.1,43.4 ± 3.4,47.9 ± 2.7,89.2 ± 0.9,69.3 ± 1.7,56.9 ± 4.1,41.6 ± 5.3,82.5 ± 5.1,96.7 ± 0.9,96.0 ± 1.2,57.3 ± 20.1,45.3 ± 12.2,37.3 ± 10.1
vertical-adjustable-resistor,83.4 ± 1.1,95.2 ± 0.2,90.1 ± 1.0,93.8 ± 0.3,52.6 ± 1.8,54.5 ± 1.4,82.9 ± 0.6,80.5 ± 10.6,67.4 ± 11.1,52.7 ± 4.4,90.6 ± 1.3,98.6 ± 0.3,96.0 ± 0.7,52.0 ± 12.0,40.0 ± 6.9,32.0 ± 4.0
vibration_motor,77.1 ± 0.8,94.8 ± 0.5,92.5 ± 0.4,93.4 ± 0.2,22.3 ± 1.7,26.8 ± 1.1,68.3 ± 0.7,82.8 ± 3.9,72.6 ± 3.5,58.0 ± 4.1,90.1 ± 4.4,98.5 ± 0.7,96.8 ± 0.4,48.0 ± 8.0,36.0 ± 10.6,26.7 ± 8.3
volume_potentiometer,82.9 ± 4.6,95.8 ± 1.5,92.5 ± 1.0,93.4 ± 0.3,60.0 ± 1.0,59.4 ± 1.9,75.6 ± 1.5,75.4 ± 12.7,58.1 ± 14.1,46.1 ± 11.6,81.0 ± 13.3,96.9 ± 2.7,94.5 ± 0.8,84.0 ± 17.4,72.0 ± 26.2,64.0 ± 26.2
wireless_receiver_module,78.6 ± 4.2,96.7 ± 0.7,94.3 ± 0.1,94.2 ± 1.2,54.3 ± 7.4,49.0 ± 7.3,80.7 ± 3.7,83.5 ± 4.5,76.0 ± 7.7,60.3 ± 14.1,75.0 ± 5.2,96.1 ± 1.0,94.6 ± 0.7,85.3 ± 10.1,73.3 ± 6.1,64.0 ± 10.6
slipper- model,91.9 ± 0.6,98.8 ± 0.1,96.0 ± 0.1,98.3 ± 0.3,76.2 ± 3.3,68.8 ± 3.1,94.7 ± 0.6,53.6 ± 2.1,37.1 ± 4.4,24.8 ± 3.7,97.5 ± 1.2,99.6 ± 0.2,98.3 ± 0.3,20.0 ± 4.0,13.3 ± 6.1,5.3 ± 2.3
Mean,81.9 ± 0.1,96.3 ± 0.1,94.1 ± 0.0,92.0 ± 0.1,48.2 ± 0.4,48.3 ± 0.3,76.5 ± 0.1,73.4 ± 0.8,61.4 ± 0.5,48.5 ± 0.4,84.6 ± 0.4,97.4 ± 0.1,95.9 ± 0.1,60.8 ± 2.1,51.1 ± 1.4,41.0 ± 0.7
